index,id,title,year,age,imdb,rotten_tomatoes,netflix,hulu,prime_video,directors,genres,language,runtime
6674,6675,1 Night,2017,13+,5.8,33,FALSE,FALSE,TRUE,Minhal Baig,Drama,English,80
16442,16443,101 Dalmatians II: Patch's London Adventure,2003,all,5.8,67,FALSE,FALSE,FALSE,"Jim Kammerud,Brian Smith",Animation,English,74
5080,5081,11:55,2017,18+,4.9,100,FALSE,FALSE,TRUE,"Ari Issler,Ben Snyder",Crime,English,80
1075,1076,13 Cameras,2015,18+,5.1,77,TRUE,FALSE,FALSE,Victor Zarcoff,Crime,English,87
644,645,13 Sins,2014,18+,6.3,65,TRUE,FALSE,FALSE,Daniel Stamm,Horror,English,93
87,88,13th,2016,18+,8.2,96,TRUE,FALSE,FALSE,Ava DuVernay,Documentary,English,100
13164,13165,13th Child,2002,18+,2.9,40,FALSE,FALSE,TRUE,"Thomas Ashley,Steven Stockage",Horror,English,99
2222,2223,14 Cameras,2018,18+,4.5,22,TRUE,FALSE,FALSE,"Seth Fuller,Scott Hussion",Crime,English,90
306,307,1922,2017,18+,6.3,90,TRUE,FALSE,FALSE,Zak Hilditch,Crime,English,102
262,263,20 Feet from Stardom,2013,13+,7.4,99,TRUE,FALSE,FALSE,Morgan Neville,Documentary,"English,Spanish",91
463,464,2012,2009,13+,5.8,39,TRUE,FALSE,FALSE,Roland Emmerich,Action,"English,French,Tibetan,Mandarin,Russian,Hindi,Portuguese,Latin,Italian,Spanish",158
206,207,20th Century Women,2016,18+,7.3,88,TRUE,FALSE,FALSE,Mike Mills,Comedy,English,119
358,359,21,2008,13+,6.8,36,TRUE,FALSE,FALSE,Robert Luketic,Crime,English,123
5987,5988,23 Blast,2014,13+,6.5,36,FALSE,FALSE,TRUE,Dylan Baker,Drama,English,98
1253,1254,3 Generations,2016,13+,5.9,32,TRUE,FALSE,FALSE,Gaby Dellal,Drama,"English,Spanish",92
16485,16486,3 Men and a Little Lady,1990,7+,5.4,38,FALSE,FALSE,FALSE,Emile Ardolino,Comedy,English,104
7123,7124,3 Nights in the Desert,2014,18+,5.1,40,FALSE,FALSE,TRUE,Gabriel Cowan,Drama,English,90
4722,4723,4 Little Girls,1997,16+,7.8,100,FALSE,FALSE,TRUE,Spike Lee,Documentary,English,102
1156,1157,5 Flights Up,2014,13+,6.2,46,TRUE,FALSE,FALSE,Richard Loncraine,Comedy,English,88
3574,3575,50/50,2011,18+,7.6,93,FALSE,TRUE,FALSE,Jonathan Levine,Comedy,English,100
904,905,6 Balloons,2018,18+,5.8,86,TRUE,FALSE,FALSE,Marja-Lewis Ryan,Drama,English,74
4070,4071,6 Below: Miracle on the Mountain,2017,13+,5.7,22,FALSE,TRUE,FALSE,Scott Waugh,Adventure,English,98
406,407,6 Underground,2019,18+,6.1,36,TRUE,FALSE,FALSE,Michael Bay,Action,"English,Turkmen,Cantonese,Italian,Spanish,Ukrainian,French",128
8923,8924,6 Ways to Die,2015,18+,4,40,FALSE,FALSE,TRUE,Nadeem Soumah,Crime,English,103
872,873,68 Kill,2018,18+,6,70,TRUE,FALSE,FALSE,Trent Haaga,Comedy,English,93
